input,output
"Premises:
1.Phoneix's music is classified under the indie pop genre.
2.Phoenix is a band from France.
3.French bands write songs in French or in English.
4.Aside from indie pop, pop rock and synth-pop are two other genres of music.
5.Phoneix has no songs in French.

Conclusion:
Phoenix makes pop rock music.","We can get these predicates:
IndiePop(x),Band(x),France(x),Make(x,y),FrenchSong(x),EnglishSong(x),PopRock(x),SynthPop(x)
We can get these constants:
phoenix
Let's translate one by one.
Premises:
1.Text:Phoneix's music is classified under the indie pop genre.
Predicates:
IndiePop(x)
Constants:
phoenix
Fol:IndiePop(phoenix)
2.Text:Phoenix is a band from France.
Predicates:
Band(x),France(x)
Constants:
phoenix
Fol:Band(phoenix) ∧ France(phoenix)
3.Text:French bands write songs in French or in English.
Predicates:
France(x),EnglishSong(x),Make(x,y),FrenchSong(x),Band(x)
Fol:∀x ∀y (Band(x) ∧ France(x) ∧ Make(x, y) → FrenchSong(y) ⊕ EnglishSong(y))
4.Text:Aside from indie pop, pop rock and synth-pop are two other genres of music.
Predicates:
PopRock(x),SynthPop(x),IndiePop(x)
Fol:∀x (IndiePop(x) → ¬PopRock(x) ∧ ¬SynthPop(x))
5.Text:Phoneix has no songs in French.
Predicates:
FrenchSong(x),Make(x,y)
Constants:
phoenix
Fol:∀x (Make(phoenix, x) → ¬FrenchSong(x))
Conclusion:
Text:Phoenix makes pop rock music.
Predicates:
PopRock(x)
Constants:
phoenix
Fol:PopRock(phoenix)"
"Premises:
1.Tyga is a rapper.
2.Rappers release rap albums.
3.Tyga released the Well Done 3 album.
4.Rappers are not opera singers.

Conclusion:
Well Done 3 is a rap album.","We can get these predicates:
IsRapper(x),ReleasedAlbum(x,y),IsRapAlbum(x),IsOperaSinger(x)
We can get these constants:

Let's translate one by one.
Premises:
1.Text:Tyga is a rapper.
Predicates:
IsRapper(x)
Constants:
tyga
Fol:IsRapper(tyga)
2.Text:Rappers release rap albums.
Predicates:
ReleasedAlbum(x,y)
Constants:
tyga,wellDone3
Fol:ReleasedAlbum(tyga, wellDone3)
3.Text:Tyga released the Well Done 3 album.
Predicates:
IsRapper(x),ReleasedAlbum(x,y),IsRapAlbum(x)
Fol:∀x ∀y (IsRapper(x) ∧ ReleasedAlbum(x, y) → IsRapAlbum(y))
4.Text:Rappers are not opera singers.
Predicates:
IsRapper(x),IsOperaSinger(x)
Fol:∀x (IsRapper(x) → ¬IsOperaSinger(x))
Conclusion:
Text:Well Done 3 is a rap album.
Predicates:
IsRapAlbum(x)
Constants:
wellDone3
Fol:IsRapAlbum(wellDone3)"
"Premises:
1.Either present their work at the conference or provide a tutorial session at the conference.
2.All who present their work at the conference will attend in person.
3.All those providing a tutorial session at the conference are invited to join the club.
4.All who attend the conference in person are provided with souvenirs.
5.All invited to join the club are provided with delicious meals.
6.All provided with delicious meals are happy to communicate with each other during the dinner.
7.All provided with delicious meals are invited to take a photo with the audience.
8.James does not attend the conference in person and is not provided with souvenirs.

Conclusion:
James is provided with souvenirs.","We can get these predicates:
Present(x),Tutorial(x),InPerson(x),Invited(x),Souvenirs(x),Meals(x),HappyCommunicate(x),InvitedTakePhoto(x)
We can get these constants:
james
Let's translate one by one.
Premises:
1.Text:Either present their work at the conference or provide a tutorial session at the conference.
Predicates:
Tutorial(x),Present(x)
Fol:∀x ( Present(x) ∨ Tutorial(x))
2.Text:All who present their work at the conference will attend in person.
Predicates:
Present(x),InPerson(x)
Fol:∀x (Present(x) → InPerson(x))
3.Text:All those providing a tutorial session at the conference are invited to join the club.
Predicates:
Invited(x),Tutorial(x)
Fol:∀x (Tutorial(x) → Invited(x))
4.Text:All who attend the conference in person are provided with souvenirs.
Predicates:
Souvenirs(x),InPerson(x)
Fol:∀x (InPerson(x) → Souvenirs(x))
5.Text:All invited to join the club are provided with delicious meals.
Predicates:
Invited(x),Meals(x)
Fol:∀x (Invited(x) → Meals(x))
6.Text:All provided with delicious meals are happy to communicate with each other during the dinner.
Predicates:
Meals(x),HappyCommunicate(x)
Fol:∀x (Meals(x) → HappyCommunicate(x))
7.Text:All provided with delicious meals are invited to take a photo with the audience.
Predicates:
Meals(x),InvitedTakePhoto(x)
Fol:∀x (Meals(x) → InvitedTakePhoto(x))
8.Text:James does not attend the conference in person and is not provided with souvenirs.
Predicates:
Souvenirs(x),InPerson(x)
Constants:
james
Fol:¬(InPerson(james) ∧ Souvenirs(james))
Conclusion:
Text:James is provided with souvenirs.
Predicates:
Souvenirs(x)
Constants:
james
Fol:Souvenirs(james)"
"Premises:
1.All cancers are malignant tumors.
2.No malignant tumor can be treated at home.
3.All colorectal cancer is cancer.
4.Having a cold can be treated at home.
5.Breast cancer is neither having a cold nor a malignant tumor (exclusive).

Conclusion:
Breast cancer is colorectal cancer.","We can get these predicates:
Cancer(x),MalignantTumor(x),CanBeTreatedAtHome(x),ColorectalCancer(x),HavingACold(x)
We can get these constants:
breastCancer
Let's translate one by one.
Premises:
1.Text:All cancers are malignant tumors.
Predicates:
MalignantTumor(x),Cancer(x)
Fol:∀x (Cancer(x) → MalignantTumor(x))
2.Text:No malignant tumor can be treated at home.
Predicates:
CanBeTreatedAtHome(x),MalignantTumor(x)
Fol:∀x (MalignantTumor(x) → ¬CanBeTreatedAtHome(x))
3.Text:All colorectal cancer is cancer.
Predicates:
ColorectalCancer(x),Cancer(x)
Fol:∀x (ColorectalCancer(x) → Cancer(x))
4.Text:Having a cold can be treated at home.
Predicates:
CanBeTreatedAtHome(x),HavingACold(x)
Fol:∀x (HavingACold(x) → CanBeTreatedAtHome(x))
5.Text:Breast cancer is neither having a cold nor a malignant tumor (exclusive).
Predicates:
HavingACold(x),MalignantTumor(x)
Constants:
breastCancer
Fol:¬(HavingACold(breastCancer) ⊕ MalignantTumor(breastCancer))
Conclusion:
Text:Breast cancer is colorectal cancer.
Predicates:
ColorectalCancer(x)
Constants:
breastCancer
Fol:ColorectalCancer(breastCancer)"
"Premises:
1.If a customer subscribes to AMC A List, then he/she can watch 3 movies every week without any additional fees.
2.Some customers go to cinemas every week.
3.Customers who prefer TV series will not watch TV series in cinemas.
4.James watches TV series in cinemas.
5.James subscribes to AMC A List.
6.Peter prefers TV series.

Conclusion:
James is not able to watch 3 movies every week without any additional fees.","We can get these predicates:
SubscribedTo(x,y),ThreeMovies(x),NoFees(x),CinemaEveryWeek(x),Prefer(x,y),WatchTVIn(x,y)
We can get these constants:
tvseries,peter
Let's translate one by one.
Premises:
1.Text:If a customer subscribes to AMC A List, then he/she can watch 3 movies every week without any additional fees.
Predicates:
NoFees(x),SubscribedTo(x,y),ThreeMovies(x)
Constants:
amcalist
Fol:∀x (SubscribedTo(x, amcalist) → ThreeMovies(x) ∧ NoFees(x))
2.Text:Some customers go to cinemas every week.
Predicates:
CinemaEveryWeek(x)
Fol:∃x (CinemaEveryWeek(x))
3.Text:Customers who prefer TV series will not watch TV series in cinemas.
Predicates:
Prefer(x,y),WatchTVIn(x,y)
Constants:
tvseries,cinemas
Fol:∀x (Prefer(x, tvseries) → ¬WatchTVIn(x, cinemas))
4.Text:James watches TV series in cinemas.
Predicates:
WatchTVIn(x,y)
Constants:
cinemas,james
Fol:WatchTVIn(james, cinemas)
5.Text:James subscribes to AMC A List.
Predicates:
SubscribedTo(x,y)
Constants:
james,amcalist
Fol:SubscribedTo(james, amcalist)
6.Text:Peter prefers TV series.
Predicates:
Prefer(x,y)
Constants:
peter,tvseries
Fol:Prefer(peter, tvseries)
Conclusion:
Text:James is not able to watch 3 movies every week without any additional fees.
Predicates:
NoFees(x),ThreeMovies(x)
Constants:
james
Fol:¬(ThreeMovies(james) ∧ NoFees(james))"
"Premises:
1.UFC Fight Night was a mixed martial arts event and was held in Sweden.
2.At UFC Fight Night, Sadollah was scheduled to fight Musoke.
3.Sadollah fought Akiyama at UFC Fight Night.
4.Musoke fought Yakovlev at UFC Fight Night.
5.Jung was injured at UFC Fight Night.
6.Injured people did not fight at UFC Fight Night.

Conclusion:
Jung did not fight at UFC Fight Night.","We can get these predicates:
Event(x),MixedMartial(x),Sweden(x),ScheduledToFight(x,y),Fight(x,y),Injured(x),FightInUFC(x)
We can get these constants:

Let's translate one by one.
Premises:
1.Text:UFC Fight Night was a mixed martial arts event and was held in Sweden.
Predicates:
MixedMartial(x),Sweden(x),Event(x)
Constants:
uFCFightNight
Fol:Event(uFCFightNight) ∧ MixedMartial(uFCFightNight) ∧ Sweden(uFCFightNight)
2.Text:At UFC Fight Night, Sadollah was scheduled to fight Musoke.
Predicates:
Event(x),ScheduledToFight(x,y)
Constants:
musoke,uFCFightNight,sadollah
Fol:Event(uFCFightNight) → ScheduledToFight(sadollah, musoke)
3.Text:Sadollah fought Akiyama at UFC Fight Night.
Predicates:
Fight(x,y),Event(x)
Constants:
akiyama,uFCFightNight,sadollah
Fol:Event(uFCFightNight) → Fight(sadollah, akiyama)
4.Text:Musoke fought Yakovlev at UFC Fight Night.
Predicates:
Fight(x,y),Event(x)
Constants:
musoke,uFCFightNight
Fol:Event(uFCFightNight) → Fight(musoke, yakovlev)
5.Text:Jung was injured at UFC Fight Night.
Predicates:
Injured(x),Event(x)
Constants:
jung,uFCFightNight
Fol:Event(uFCFightNight) → Injured(jung)
6.Text:Injured people did not fight at UFC Fight Night.
Predicates:
FightInUFC(x),Injured(x)
Fol:∀x (Injured(x) → ¬FightInUFC(x))
Conclusion:
Text:Jung did not fight at UFC Fight Night.
Predicates:
FightInUFC(x)
Constants:
jung
Fol:¬FightInUFC(jung)"
"Premises:
1.If people have a lot of decorations in their room, they cannot pack and move out of their rooms very easily.
2.If people have high ambitions and future career goals, then they can pack and move out of their rooms very easily.
3.If people are big fans of pop bands and singers, then they have a lot of decorations in their room.
4.All young teenage girls who attend college are big fans of pop bands and singers.
5.If Sam has high ambitions and future career goals, then Sam is a big fan of pop bands and singers.

Conclusion:
Sam is a young teenage girl who attends college.","We can get these predicates:
Decor(x),MoveOut(x),Ambitious(x),Fans(x),CollegeTeen(x)
We can get these constants:
sam
Let's translate one by one.
Premises:
1.Text:If people have a lot of decorations in their room, they cannot pack and move out of their rooms very easily.
Predicates:
Decor(x),MoveOut(x)
Fol:∀x (Decor(x) → ¬MoveOut(x))
2.Text:If people have high ambitions and future career goals, then they can pack and move out of their rooms very easily.
Predicates:
MoveOut(x),Ambitious(x)
Fol:∀x (Ambitious(x) → MoveOut(x))
3.Text:If people are big fans of pop bands and singers, then they have a lot of decorations in their room.
Predicates:
Decor(x),Fans(x)
Fol:∀x (Fans(x) → Decor(x))
4.Text:All young teenage girls who attend college are big fans of pop bands and singers.
Predicates:
CollegeTeen(x),Ambitious(x)
Fol:∀x (CollegeTeen(x) → Ambitious(x))
5.Text:If Sam has high ambitions and future career goals, then Sam is a big fan of pop bands and singers.
Predicates:
Ambitious(x),Fans(x)
Constants:
sam
Fol:Ambitious(sam) → Fans(sam)
Conclusion:
Text:Sam is a young teenage girl who attends college.
Predicates:
CollegeTeen(x)
Constants:
sam
Fol:CollegeTeen(sam)"
"Premises:
1.All drinks are edible.
2.All juices are drinks.
3.All orange juice is a juice.
4.A juice is either an orange juice or an apple juice.
5.All apple juice is sweet.
6.If coke is apple juice, then coke is a drink.
7.If coke is not apple juice, then coke is not edible.

Conclusion:
Coke is orange juice.","We can get these predicates:
Drink(x),Edible(x),Juice(x),OrangeJuice(x),AppleJuice(x),Sweet(x)
We can get these constants:
coke
Let's translate one by one.
Premises:
1.Text:All drinks are edible.
Predicates:
Drink(x),Edible(x)
Fol:∀x (Drink(x) → Edible(x))
2.Text:All juices are drinks.
Predicates:
Drink(x),Juice(x)
Fol:∀x (Juice(x) → Drink(x))
3.Text:All orange juice is a juice.
Predicates:
Juice(x),OrangeJuice(x)
Fol:∀x (OrangeJuice(x) → Juice(x))
4.Text:A juice is either an orange juice or an apple juice.
Predicates:
OrangeJuice(x),AppleJuice(x)
Fol:∀x (OrangeJuice(x) ∨ AppleJuice(x))
5.Text:All apple juice is sweet.
Predicates:
Sweet(x),AppleJuice(x)
Fol:∀x (AppleJuice(x) → Sweet(x))
6.Text:If coke is apple juice, then coke is a drink.
Predicates:
Drink(x),AppleJuice(x)
Constants:
coke
Fol:AppleJuice(coke) → Drink(coke)
7.Text:If coke is not apple juice, then coke is not edible.
Predicates:
AppleJuice(x),Edible(x)
Constants:
coke
Fol:¬AppleJuice(coke) → ¬Edible(coke)
Conclusion:
Text:Coke is orange juice.
Predicates:
OrangeJuice(x)
Constants:
coke
Fol:OrangeJuice(coke)"
"Premises:
1.Boves is a railway station located in France.
2.The preceding station of Boves is Longueau.
3.The preceding station of Dommartin is Boves.
4.France is a European country.
5.Dommartin is situated on the Paris–Lille railway.
6.Any two contiguous stations are on the same railway.
7.Boves is served by regional TER Hauts-de-France trains.
8.If A is located in B and B is located in C, then A is located in C.
9.If A precedes B and B preceds C, than A preceds C.

Conclusion:
Boves is not in Europe.","We can get these predicates:
RailwayStation(x),Locate(x,y),Precede(x,y),Situate(x,y),Serve(x,y)
We can get these constants:

Let's translate one by one.
Premises:
1.Text:Boves is a railway station located in France.
Predicates:
Locate(x,y),RailwayStation(x)
Constants:
boves,france
Fol:RailwayStation(boves) ∧ Locate(boves, france)
2.Text:The preceding station of Boves is Longueau.
Predicates:
Precede(x,y)
Constants:
boves,longueau
Fol:Precede(boves, longueau)
3.Text:The preceding station of Dommartin is Boves.
Predicates:
Precede(x,y)
Constants:
boves,dommartin
Fol:Precede(dommartin, boves)
4.Text:France is a European country.
Predicates:
Locate(x,y)
Constants:
france,europe
Fol:Locate(france, europe)
5.Text:Dommartin is situated on the Paris–Lille railway.
Predicates:
Situate(x,y)
Constants:
pairsLille,dommartin
Fol:Situate(dommartin, pairsLille)
6.Text:Any two contiguous stations are on the same railway.
Predicates:
Precede(x,y),Situate(x,y)
Fol:∀x ∀y ∀z ((Situate(x, z) ∧ (Precede(x, y) ∨ Precede(y, x))) → Situate(y, z))
7.Text:Boves is served by regional TER Hauts-de-France trains.
Predicates:
Serve(x,y)
Constants:
boves,hautsDeFrance
Fol:Serve(hautsDeFrance, boves)
8.Text:If A is located in B and B is located in C, then A is located in C.
Predicates:
Locate(x,y)
Fol:∀x ∀y ∀z ((Locate(x, y) ∧ Locate(y, z)) → Locate(x, z))
9.Text:If A precedes B and B preceds C, than A preceds C.
Predicates:
Precede(x,y)
Fol:∀x ∀y ∀z ((Precede(x, y) ∧ Precede(y, z)) → Precede(x, z))
Conclusion:
Text:Boves is not in Europe.
Predicates:
Locate(x,y)
Constants:
boves,europe
Fol:¬Locate(boves, europe)"
"Premises:
1.No shoes are food.
2.All slippers are shoes.
3.A thing is either food or clothes.
4.No wearable things are airtight.
5.All clothes are wearable.
6.If a watch is not airtight and clothes, then a watch is either both airtight and clothes, or neither airtight nor clothes.

Conclusion:
Watch is a slipper.","We can get these predicates:
Shoes(x),Food(x),Slipper(x),Clothes(x),Wearable(x),AirTight(x)
We can get these constants:
watch
Let's translate one by one.
Premises:
1.Text:No shoes are food.
Predicates:
Food(x),Shoes(x)
Fol:∀x (Shoes(x) → ¬Food(x))
2.Text:All slippers are shoes.
Predicates:
Shoes(x),Slipper(x)
Fol:∀x (Slipper(x) → Shoes(x))
3.Text:A thing is either food or clothes.
Predicates:
Food(x),Clothes(x)
Fol:∀x (Food(x) ⊕ Clothes(x))
4.Text:No wearable things are airtight.
Predicates:
Wearable(x),AirTight(x)
Fol:∀x (Wearable(x) → ¬AirTight(x))
5.Text:All clothes are wearable.
Predicates:
Wearable(x),Clothes(x)
Fol:∀x (Clothes(x) → Wearable(x))
6.Text:If a watch is not airtight and clothes, then a watch is either both airtight and clothes, or neither airtight nor clothes.
Predicates:
Clothes(x),AirTight(x)
Constants:
watch
Fol:¬(AirTight(watch) ∧ Clothes(watch)) → (AirTight(watch) ∧ Clothes(watch)) ⊕ (¬AirTight(watch) ∧ ¬Clothes(watch))
Conclusion:
Text:Watch is a slipper.
Predicates:
Slipper(x)
Constants:
watch
Fol:Slipper(watch)"
