input,output
"# Context:
Charlie makes a soup by adding exactly six kinds of foods—kale, lentils, mushrooms, onions, tomatoes, and zucchini—to a broth, one food at a time. No food is added more than once. The order in which Charlie adds the foods to the broth must be consistent with the following: If the mushrooms are added third, then the lentils are added last. If the zucchini is added first, then the lentils are added at some time before the onions. Neither the tomatoes nor the kale is added fifth. The mushrooms are added at some time before the tomatoes or the kale, but not before both.

# Question:
If the lentils are added last, then which one of the following must be true?

# Options:
A) At least one of the foods is added at some time before the zucchini.
B) At least two of the foods are added at some time before the kale.
C) The mushrooms are added third.
D) The zucchini is added third.
E) The tomatoes are added fourth.","# Declarations
foods = EnumSort([kale, lentils, mushrooms, onions, tomatoes, zucchini])
order = Function([foods] -> [int])
# Constraints
ForAll([f:foods], And(order(f) <= 6, order(f) >= 1)) ::: **Implied Information**: The order is defined between 1 and 6.
ForAll([f1:foods, f2:foods], Implies(f1 != f2, order(f1) != order(f2))) ::: **Implied Information**: All food items have different positions.
Implies(order(mushrooms) == 3, order(lentils) == 6) ::: If the mushrooms are added third, then the lentils are added last
Implies(order(zucchini) == 1, order(lentils) < order(onions)) ::: If the zucchini is added first, then the lentils are added at some time before the onions
And(order(tomatoes) != 5, order(kale) != 5) ::: Neither the tomatoes nor the kale is added fifth
Exists([f:foods], And(Or(order(mushrooms) < order(tomatoes), order(mushrooms) < order(kale)), Not(And(order(mushrooms) < order(tomatoes), order(mushrooms) < order(kale))))) ::: The mushrooms are added at some time before the tomatoes or the kale, but not before both
order(lentils) == 6 ::: If the lentils are added last
# Options
is_valid(Exists([f:foods], order(f) < order(zucchini))) ::: (A)
is_valid(Count([f:foods], order(f) < order(kale)) >= 2) ::: (B)
is_valid(order(mushrooms) == 3) ::: (C)
is_valid(order(zucchini) == 3) ::: (D)
is_valid(order(tomatoes) == 4) ::: (E)"
"# Context:
Of the five Pohl children—Sara, Theo, Uma, Will, and Zoe—three are left-handed and two are right-handed. Each of the five children was born in a different one of seven calendar years, 1990 through 1996. The following conditions apply: No two left-handed children were born in consecutive years. No two right-handed children were born in consecutive years. Sara, who is left-handed, was born before Uma. Zoe was born before both Theo and Will. A left-handed child was born in 1991. Uma, who is right-handed, was born in 1993.

# Question:
If Sara was born before Zoe was born, then which one of the following statements CANNOT be true?

# Options:
A) Will is left-handed.
B) Zoe is left-handed.
C) Theo was born after Will was born.
D) Uma was born after Zoe was born.
E) No child was born in 1990.","# Declarations
children = EnumSort([Sara, Theo, Uma, Will, Zoe])
handedness = EnumSort([left, right])
years = EnumSort([1990, 1991, 1992, 1993, 1994, 1995, 1996])
handed = Function([children] -> [handedness])
born_in = Function([children] -> [years])
# Constraints
Count([c:children], handed(c) == left) == 3 ::: three are left-handed
Count([c:children], handed(c) == right) == 2 ::: two are right-handed
ForAll([c1:children, c2:children], Implies(And(handed(c1) == left, handed(c2) == left, c1 != c2), Abs(born_in(c1) - born_in(c2)) != 1)) ::: No two left-handed children were born in consecutive years
ForAll([c1:children, c2:children], Implies(And(handed(c1) == right, handed(c2) == right, c1 != c2), Abs(born_in(c1) - born_in(c2)) != 1)) ::: No two right-handed children were born in consecutive years
born_in(Sara) < born_in(Uma) ::: Sara, who is left-handed, was born before Uma
born_in(Zoe) < born_in(Theo) ::: Zoe was born before Theo
born_in(Zoe) < born_in(Will) ::: Zoe was born before Will
Exists([c:children], And(handed(c) == left, born_in(c) == 1991)) ::: A left-handed child was born in 1991
born_in(Uma) == 1993 ::: Uma, who is right-handed, was born in 1993
handed(Sara) == left ::: Sara is left-handed
handed(Uma) == right ::: Uma is right-handed
born_in(Sara) < born_in(Zoe) ::: If Sara was born before Zoe was born
# Options
is_unsat(handed(Will) == left) ::: (A)
is_unsat(handed(Zoe) == left) ::: (B)
is_unsat(born_in(Theo) > born_in(Will)) ::: (C)
is_unsat(born_in(Uma) > born_in(Zoe)) ::: (D)
is_unsat(ForAll([c:children], born_in(c) != 1990)) ::: (E)"
"# Context:
Each nonstop flight offered by Zephyr Airlines departs from one and arrives at another of five cities: Honolulu, Montreal, Philadelphia, Toronto, and Vancouver. Any two cities are said to be connected with each other if Zephyr offers nonstop flights between them. Each city is connected with at least one other city. The following conditions govern Zephyr's nonstop flights: Montreal is connected with exactly one other city. Honolulu is not connected with Toronto. Any city that is connected with Honolulu is also connected with Toronto. If Philadelphia is connected with Toronto, then Philadelphia is not connected with Vancouver.

# Question:
Which one of the following is a pair of cities that CANNOT be connected?

# Options:
A) Honolulu and Montreal
B) Honolulu and Philadelphia
C) Montreal and Philadelphia
D) Montreal and Vancouver
E) Philadelphia and Toronto","# Declarations
cities = EnumSort([Honolulu, Montreal, Philadelphia, Toronto, Vancouver])
connected = Function([cities, cities] -> [bool])
# Constraints
ForAll([c:cities], Exists([c1:cities], And(c != c1, connected(c, c1)))) ::: Each city is connected with at least one other city
Count([c:cities], connected(Montreal, c)) == 1 ::: Montreal is connected with exactly one other city
Not(connected(Honolulu, Toronto)) ::: Honolulu is not connected with Toronto
ForAll([c:cities], Implies(connected(c, Honolulu), connected(c, Toronto))) ::: Any city that is connected with Honolulu is also connected with Toronto
Implies(connected(Philadelphia, Toronto), Not(connected(Philadelphia, Vancouver))) ::: If Philadelphia is connected with Toronto, then Philadelphia is not connected with Vancouver
# Options
is_unsat(And(connected(Honolulu, Montreal), ForAll([c:cities], Implies(c != Montreal, Not(connected(Honolulu, c)))))) ::: (A)
is_unsat(And(connected(Honolulu, Philadelphia), ForAll([c:cities], Implies(c != Philadelphia, Not(connected(Honolulu, c)))))) ::: (B)
is_unsat(And(connected(Montreal, Philadelphia), ForAll([c:cities], Implies(c != Philadelphia, Not(connected(Montreal, c)))))) ::: (C)
is_unsat(And(connected(Montreal, Vancouver), ForAll([c:cities], Implies(c != Vancouver, Not(connected(Montreal, c)))))) ::: (D)
is_unsat(And(connected(Philadelphia, Toronto), ForAll([c:cities], Implies(c != Toronto, Not(connected(Philadelphia, c)))))) ::: (E)"
"# Context:
Of the five Pohl children—Sara, Theo, Uma, Will, and Zoe—three are left-handed and two are right-handed. Each of the five children was born in a different one of seven calendar years, 1990 through 1996. The following conditions apply: No two left-handed children were born in consecutive years. No two right-handed children were born in consecutive years. Sara, who is left-handed, was born before Uma. Zoe was born before both Theo and Will. A left-handed child was born in 1991. Uma, who is right-handed, was born in 1993.

# Question:
Which one of the following must be false?

# Options:
A) None of the children was born in 1990, nor was a child born in 1992.
B) None of the children was born in 1992, nor was a child born in 1995.
C) None of the children was born in 1994, nor was a child born in 1996.
D) One of the children was born in 1990, and another in 1993.
E) One of the children was born in 1993, and another in 1995.","# Declarations
children = EnumSort([Sara, Theo, Uma, Will, Zoe])
hand_types = EnumSort([left_handed, right_handed])
years = EnumSort([1990, 1991, 1992, 1993, 1994, 1995, 1996])
handedness = Function([children] -> [hand_types])
birth_year = Function([children] -> [years])
# Constraints
Count([c:children], handedness(c) == left_handed) == 3 ::: three are left-handed
Count([c:children], handedness(c) == right_handed) == 2 ::: two are right-handed
ForAll([c1:children, c2:children], Implies(And(handedness(c1) == left_handed, handedness(c2) == left_handed, c1 != c2), Abs(birth_year(c1) - birth_year(c2)) != 1)) ::: No two left-handed children were born in consecutive years
ForAll([c1:children, c2:children], Implies(And(handedness(c1) == right_handed, handedness(c2) == right_handed, c1 != c2), Abs(birth_year(c1) - birth_year(c2)) != 1)) ::: No two right-handed children were born in consecutive years
birth_year(Sara) < birth_year(Uma) ::: Sara, who is left-handed, was born before Uma
birth_year(Zoe) < birth_year(Theo) ::: Zoe was born before both Theo and Will
birth_year(Zoe) < birth_year(Will) ::: Zoe was born before both Theo and Will
Exists([c:children], And(handedness(c) == left_handed, birth_year(c) == 1991)) ::: A left-handed child was born in 1991
birth_year(Uma) == 1993 ::: Uma, who is right-handed, was born in 1993
handedness(Uma) == right_handed ::: Uma, who is right-handed, was born in 1993
# Options
is_unsat(And(ForAll([c:children], birth_year(c) != 1990), ForAll([c:children], birth_year(c) != 1992))) ::: (A)
is_unsat(And(ForAll([c:children], birth_year(c) != 1992), ForAll([c:children], birth_year(c) != 1995))) ::: (B)
is_unsat(And(ForAll([c:children], birth_year(c) != 1994), ForAll([c:children], birth_year(c) != 1996))) ::: (C)
is_unsat(And(Exists([c:children], birth_year(c) == 1990), Exists([c:children], birth_year(c) == 1993))) ::: (D)
is_unsat(And(Exists([c:children], birth_year(c) == 1993), Exists([c:children], birth_year(c) == 1995))) ::: (E)"
"# Context:
Each nonstop flight offered by Zephyr Airlines departs from one and arrives at another of five cities: Honolulu, Montreal, Philadelphia, Toronto, and Vancouver. Any two cities are said to be connected with each other if Zephyr offers nonstop flights between them. Each city is connected with at least one other city. The following conditions govern Zephyr's nonstop flights: Montreal is connected with exactly one other city. Honolulu is not connected with Toronto. Any city that is connected with Honolulu is also connected with Toronto. If Philadelphia is connected with Toronto, then Philadelphia is not connected with Vancouver.

# Question:
If exactly three cities are each connected with Philadelphia, then which one of the following could be a pair of connected cities?

# Options:
A) Honolulu and Montreal
B) Honolulu and Vancouver
C) Montreal and Toronto
D) Montreal and Vancouver
E) Philadelphia and Vancouver","# Declarations
cities = EnumSort([Honolulu, Montreal, Philadelphia, Toronto, Vancouver])
connected = Function([cities, cities] -> [bool])
# Constraints
ForAll([c:cities], Exists([c1:cities], And(c != c1, connected(c, c1)))) ::: Each city is connected with at least one other city
Count([c:cities], connected(Montreal, c)) == 1 ::: Montreal is connected with exactly one other city
Not(connected(Honolulu, Toronto)) ::: Honolulu is not connected with Toronto
ForAll([c:cities], Implies(connected(c, Honolulu), connected(c, Toronto))) ::: Any city that is connected with Honolulu is also connected with Toronto
Implies(connected(Philadelphia, Toronto), Not(connected(Philadelphia, Vancouver))) ::: If Philadelphia is connected with Toronto, then Philadelphia is not connected with Vancouver
Count([c:cities], connected(Philadelphia, c)) == 3 ::: Exactly three cities are each connected with Philadelphia
# Options
is_valid(And(connected(Honolulu, Montreal), connected(Montreal, Honolulu))) ::: (A)
is_valid(And(connected(Honolulu, Vancouver), connected(Vancouver, Honolulu))) ::: (B)
is_valid(And(connected(Montreal, Toronto), connected(Toronto, Montreal))) ::: (C)
is_valid(And(connected(Montreal, Vancouver), connected(Vancouver, Montreal))) ::: (D)
is_valid(And(connected(Philadelphia, Vancouver), connected(Vancouver, Philadelphia))) ::: (E)"
"# Context:
Charlie makes a soup by adding exactly six kinds of foods—kale, lentils, mushrooms, onions, tomatoes, and zucchini—to a broth, one food at a time. No food is added more than once. The order in which Charlie adds the foods to the broth must be consistent with the following: If the mushrooms are added third, then the lentils are added last. If the zucchini is added first, then the lentils are added at some time before the onions. Neither the tomatoes nor the kale is added fifth. The mushrooms are added at some time before the tomatoes or the kale, but not before both.

# Question:
Which one of the following foods CANNOT be added first?

# Options:
A) kale
B) lentils
C) mushrooms
D) onions
E) tomatoes","# Declarations
foods = EnumSort([kale, lentils, mushrooms, onions, tomatoes, zucchini])
order = Function([foods] -> [int])
# Constraints
ForAll([f1:foods, f2:foods], Implies(f1 != f2, order(f1) != order(f2))) ::: No food is added more than once
Implies(order(mushrooms) == 3, order(lentils) == 6) ::: If the mushrooms are added third, then the lentils are added last
Implies(order(zucchini) == 1, Exists([f:foods], And(order(lentils) < order(onions), order(lentils) < order(f)))) ::: If the zucchini is added first, then the lentils are added at some time before the onions
And(order(tomatoes) != 5, order(kale) != 5) ::: Neither the tomatoes nor the kale is added fifth
Exists([f:foods], And(order(mushrooms) < order(tomatoes), order(mushrooms) < order(kale), order(mushrooms) != 1)) ::: The mushrooms are added at some time before the tomatoes or the kale, but not before both
# Options
is_unsat(order(kale) == 1) ::: (A)
is_unsat(order(lentils) == 1) ::: (B)
is_unsat(order(mushrooms) == 1) ::: (C)
is_unsat(order(onions) == 1) ::: (D)
is_unsat(order(tomatoes) == 1) ::: (E)"
"# Context:
Exactly three employees of Capital Enterprises—Maria, Suki, and Tate—attend a three-day conference together. Each day, there are exactly three sessions on the three topics of the conference—one on hiring, one on investing, and one on regulations. The following rules govern the conference: Each conference participant attends exactly two sessions, which are on different topics and on different days. Neither Maria nor Suki attends any session on investing. Tate does not attend any session on the third day. At most two Capital employees attend any given session together.

# Question:
What is the maximum number of sessions attended by at least one Capital employee?

# Options:
A) three
B) four
C) five
D) six
E) seven","# Declarations
employees = EnumSort([Maria, Suki, Tate])
days = EnumSort([Day1, Day2, Day3])
topics = EnumSort([Hiring, Investing, Regulations])
attends = Function([employees, days, topics] -> [bool])
# Constraints
ForAll([e:employees], Count([d:days, t:topics], attends(e, d, t)) == 2) ::: Each conference participant attends exactly two sessions
ForAll([e:employees, d:days], Count([t:topics], attends(e, d, t)) <= 1) ::: Each participant attends at most one session per day
ForAll([e:employees, t:topics], Count([d:days], attends(e, d, t)) <= 1) ::: Each participant attends at most one session per topic
ForAll([d:days, t:topics], Count([e:employees], attends(e, d, t)) <= 2) ::: At most two Capital employees attend any given session together
ForAll([d:days], Not(attends(Maria, d, Investing))) ::: Neither Maria nor Suki attends any session on investing
ForAll([d:days], Not(attends(Suki, d, Investing))) ::: Neither Maria nor Suki attends any session on investing
ForAll([t:topics], Not(attends(Tate, Day3, t))) ::: Tate does not attend any session on the third day
# Options
is_sat(Count([e:employees, d:days, t:topics], attends(e, d, t)) == 3) ::: (A)
is_sat(Count([e:employees, d:days, t:topics], attends(e, d, t)) == 4) ::: (B)
is_sat(Count([e:employees, d:days, t:topics], attends(e, d, t)) == 5) ::: (C)
is_sat(Count([e:employees, d:days, t:topics], attends(e, d, t)) == 6) ::: (D)
is_sat(Count([e:employees, d:days, t:topics], attends(e, d, t)) == 7) ::: (E)"
"# Context:
Each nonstop flight offered by Zephyr Airlines departs from one and arrives at another of five cities: Honolulu, Montreal, Philadelphia, Toronto, and Vancouver. Any two cities are said to be connected with each other if Zephyr offers nonstop flights between them. Each city is connected with at least one other city. The following conditions govern Zephyr's nonstop flights: Montreal is connected with exactly one other city. Honolulu is not connected with Toronto. Any city that is connected with Honolulu is also connected with Toronto. If Philadelphia is connected with Toronto, then Philadelphia is not connected with Vancouver.

# Question:
Which one of the following could be a complete and accurate list of Zephyr Airlines' connected cities?

# Options:
A) Honolulu and Vancouver; Montreal and Toronto; Philadelphia and Vancouver; Toronto and Vancouver
B) Honolulu and Vancouver; Montreal and Philadelphia; Montreal and Toronto; Philadelphia and Toronto; Toronto and Vancouver
C) Honolulu and Philadelphia; Honolulu and Montreal; Philadelphia and Toronto; Toronto and Vancouver
D) Honolulu and Philadelphia; Montreal and Toronto; Philadelphia and Toronto; Philadelphia and Vancouver; Toronto and Vancouver
E) Honolulu and Philadelphia; Honolulu and Toronto; Montreal and Philadelphia; Philadelphia and Vancouver","# Declarations
cities = EnumSort([Honolulu, Montreal, Philadelphia, Toronto, Vancouver])
connected = Function([cities, cities] -> [bool])
# Constraints
ForAll([c:cities], Exists([c1:cities], And(c != c1, connected(c, c1)))) ::: Each city is connected with at least one other city
Count([c:cities], connected(Montreal, c)) == 1 ::: Montreal is connected with exactly one other city
Not(connected(Honolulu, Toronto)) ::: Honolulu is not connected with Toronto
ForAll([c:cities], Implies(connected(c, Honolulu), connected(c, Toronto))) ::: Any city that is connected with Honolulu is also connected with Toronto
Implies(connected(Philadelphia, Toronto), Not(connected(Philadelphia, Vancouver))) ::: If Philadelphia is connected with Toronto, then Philadelphia is not connected with Vancouver
# Options
is_accurate_list([And(connected(Honolulu, Vancouver), connected(Montreal, Toronto), connected(Philadelphia, Vancouver), connected(Toronto, Vancouver))]) ::: (A)
is_accurate_list([And(connected(Honolulu, Vancouver), connected(Montreal, Philadelphia), connected(Montreal, Toronto), connected(Philadelphia, Toronto), connected(Toronto, Vancouver))]) ::: (B)
is_accurate_list([And(connected(Honolulu, Philadelphia), connected(Honolulu, Montreal), connected(Philadelphia, Toronto), connected(Toronto, Vancouver))]) ::: (C)
is_accurate_list([And(connected(Honolulu, Philadelphia), connected(Montreal, Toronto), connected(Philadelphia, Toronto), connected(Philadelphia, Vancouver), connected(Toronto, Vancouver))]) ::: (D)
is_accurate_list([And(connected(Honolulu, Philadelphia), connected(Honolulu, Toronto), connected(Montreal, Philadelphia), connected(Philadelphia, Vancouver))]) ::: (E)"
"# Context:
Charlie makes a soup by adding exactly six kinds of foods—kale, lentils, mushrooms, onions, tomatoes, and zucchini—to a broth, one food at a time. No food is added more than once. The order in which Charlie adds the foods to the broth must be consistent with the following: If the mushrooms are added third, then the lentils are added last. If the zucchini is added first, then the lentils are added at some time before the onions. Neither the tomatoes nor the kale is added fifth. The mushrooms are added at some time before the tomatoes or the kale, but not before both.

# Question:
Which one of the following could be the order in which the foods are added to the broth?

# Options:
A) kale, mushrooms, onions, lentils, tomatoes, zucchini
B) kale, zucchini, mushrooms, tomatoes, lentils, onions
C) lentils, mushrooms, zucchini, kale, onions, tomatoes
D) zucchini, lentils, kale, mushrooms, onions, tomatoes
E) zucchini, tomatoes, onions, mushrooms, lentils, kale","# Declarations
foods = EnumSort([kale, lentils, mushrooms, onions, tomatoes, zucchini])
order = Function([foods] -> [int])
# Constraints
ForAll([f:foods], Exists([f1:foods], order(f1) == order(f))) ::: No food is added more than once
Implies(order(mushrooms) == 3, order(lentils) == 6) ::: If the mushrooms are added third, then the lentils are added last
Implies(order(zucchini) == 1, Exists([f:foods], And(order(lentils) < order(onions), order(lentils) < order(f)))) ::: If the zucchini is added first, then the lentils are added at some time before the onions
And(order(tomatoes) != 5, order(kale) != 5) ::: Neither the tomatoes nor the kale is added fifth
Or(order(mushrooms) < order(tomatoes), order(mushrooms) < order(kale)) ::: The mushrooms are added at some time before the tomatoes or the kale, but not before both
# Options
is_valid(And(order(kale) == 1, order(mushrooms) == 2, order(onions) == 3, order(lentils) == 4, order(tomatoes) == 5, order(zucchini) == 6)) ::: (A)
is_valid(And(order(kale) == 1, order(zucchini) == 2, order(mushrooms) == 3, order(tomatoes) == 4, order(lentils) == 5, order(onions) == 6)) ::: (B)
is_valid(And(order(lentils) == 1, order(mushrooms) == 2, order(zucchini) == 3, order(kale) == 4, order(onions) == 5, order(tomatoes) == 6)) ::: (C)
is_valid(And(order(zucchini) == 1, order(lentils) == 2, order(kale) == 3, order(mushrooms) == 4, order(onions) == 5, order(tomatoes) == 6)) ::: (D)
is_valid(And(order(zucchini) == 1, order(tomatoes) == 2, order(onions) == 3, order(mushrooms) == 4, order(lentils) == 5, order(kale) == 6)) ::: (E)"
"# Context:
For a behavioral study, a researcher will select exactly six individual animals from among three monkeys—F, G, and H—three pandas—K, L, and N—and three raccoons—T, V, and Z. The selection of animals for the study must meet the following conditions: F and H are not both selected. N and T are not both selected. If H is selected, K is also selected. If K is selected, N is also selected.

# Question:
If all three of the raccoons are selected, which one of the following must be true?

# Options:
A) K is selected.
B) L is selected.
C) Exactly one monkey is selected.
D) Exactly two pandas are selected.
E) All three of the monkeys are selected.","# Declarations
animals = EnumSort([F, G, H, K, L, N, T, V, Z])
selected = Function([animals] -> [bool])
# Constraints
Count([a:animals], selected(a)) == 6 ::: exactly six individual animals are selected
Not(And(selected(F), selected(H))) ::: F and H are not both selected
Not(And(selected(N), selected(T))) ::: N and T are not both selected
Implies(selected(H), selected(K)) ::: If H is selected, K is also selected
Implies(selected(K), selected(N)) ::: If K is selected, N is also selected
ForAll([a:animals], Implies(Or(a == T, a == V, a == Z), selected(a))) ::: all three of the raccoons are selected
# Options
is_valid(selected(K)) ::: (A)
is_valid(selected(L)) ::: (B)
is_valid(Count([a:animals], And(a == F, selected(a))) + Count([a:animals], And(a == G, selected(a))) + Count([a:animals], And(a == H, selected(a))) == 1) ::: (C)
is_valid(Count([a:animals], And(a == K, selected(a))) + Count([a:animals], And(a == L, selected(a))) + Count([a:animals], And(a == N, selected(a))) == 2) ::: (D)
is_valid(ForAll([a:animals], Implies(Or(a == F, a == G, a == H), selected(a)))) ::: (E)"
